Ticker,Date,Timestamp,Cours_Ouverture,Cours,Volume_Cumule
SAFC,2026-05-28,2026-05-28 19:55:40,3590.0,3600.0,1527.0
SAFC,2026-05-28,2026-05-28 19:57:31,3590.0,3600.0,1527.0
SAFC,2026-05-28,2026-05-28 19:57:38,3590.0,3600.0,1527.0
SAFC,2026-05-29,2026-05-29 09:34:45,0.0,3600.0,0.0
SAFC,2026-05-29,2026-05-29 10:15:51,3595.0,3595.0,453.0
SAFC,2026-05-29,2026-05-29 11:20:26,3595.0,3600.0,827.0
SAFC,2026-05-29,2026-05-29 11:55:27,3595.0,3600.0,1164.0
SAFC,2026-05-29,2026-05-29 12:04:43,3595.0,3600.0,1164.0
SAFC,2026-05-29,2026-05-29 12:05:34,3595.0,3600.0,1200.0
SAFC,2026-05-29,2026-05-29 12:15:27,3595.0,3600.0,1200.0
SAFC,2026-05-29,2026-05-29 12:25:04,3595.0,3600.0,1200.0
