Ticker,Date,Timestamp,Cours_Ouverture,Cours,Volume_Cumule
FTSC,2026-05-29,2026-05-29 10:15:51,2300.0,2300.0,328.0
FTSC,2026-05-29,2026-05-29 11:20:26,2300.0,2325.0,803.0
FTSC,2026-05-29,2026-05-29 11:55:27,2300.0,2330.0,1007.0
FTSC,2026-05-29,2026-05-29 12:04:43,2300.0,2330.0,1007.0
FTSC,2026-05-29,2026-05-29 12:05:34,2300.0,2330.0,1080.0
FTSC,2026-05-29,2026-05-29 12:15:27,2300.0,2330.0,1080.0
FTSC,2026-05-29,2026-05-29 12:25:04,2300.0,2330.0,1080.0
FTSC,2026-05-29,2026-05-29 12:56:03,2300.0,2330.0,1251.0
FTSC,2026-05-29,2026-05-29 12:58:29,2300.0,2330.0,1251.0
FTSC,2026-05-29,2026-05-29 13:05:25,2300.0,2330.0,1552.0
FTSC,2026-05-29,2026-05-29 13:20:30,2300.0,2330.0,1572.0
FTSC,2026-05-29,2026-05-29 13:35:27,2300.0,2330.0,1572.0
FTSC,2026-05-29,2026-05-29 13:50:29,2300.0,2330.0,1786.0
FTSC,2026-05-29,2026-05-29 14:05:34,2300.0,2345.0,1864.0
FTSC,2026-05-29,2026-05-29 14:20:23,2300.0,2345.0,1864.0
FTSC,2026-05-29,2026-05-29 14:35:25,2300.0,2340.0,2004.0
FTSC,2026-05-29,2026-05-29 14:50:26,2300.0,2340.0,2004.0
FTSC,2026-06-01,2026-06-01 09:50:26,0.0,2340.0,0.0
FTSC,2026-06-01,2026-06-01 10:05:31,2340.0,2335.0,336.0
FTSC,2026-06-01,2026-06-01 10:20:23,2340.0,2335.0,336.0
FTSC,2026-06-01,2026-06-01 10:35:21,2340.0,2335.0,528.0
FTSC,2026-06-01,2026-06-01 10:50:23,2340.0,2335.0,528.0
FTSC,2026-06-01,2026-06-01 11:05:28,2340.0,2335.0,588.0
FTSC,2026-06-01,2026-06-01 11:20:26,2340.0,2335.0,588.0
FTSC,2026-06-01,2026-06-01 11:35:27,2340.0,2340.0,1724.0
FTSC,2026-06-01,2026-06-01 11:50:23,2340.0,2340.0,1748.0
FTSC,2026-06-01,2026-06-01 12:05:27,2340.0,2340.0,2899.0
FTSC,2026-06-01,2026-06-01 12:20:27,2340.0,2340.0,2903.0
FTSC,2026-06-01,2026-06-01 12:35:25,2340.0,2340.0,2904.0
FTSC,2026-06-01,2026-06-01 12:50:25,2340.0,2340.0,2924.0
FTSC,2026-06-01,2026-06-01 13:05:26,2340.0,2340.0,2926.0
FTSC,2026-06-01,2026-06-01 13:20:28,2340.0,2400.0,3445.0
FTSC,2026-06-01,2026-06-01 13:35:26,2340.0,2400.0,3452.0
FTSC,2026-06-01,2026-06-01 13:50:29,2340.0,2400.0,3948.0
FTSC,2026-06-01,2026-06-01 14:05:29,2340.0,2340.0,4041.0
FTSC,2026-06-01,2026-06-01 14:20:30,2340.0,2340.0,4041.0
FTSC,2026-06-01,2026-06-01 14:35:28,2340.0,2340.0,4041.0
FTSC,2026-06-01,2026-06-01 14:50:32,2340.0,2340.0,4061.0
FTSC,2026-06-01,2026-06-01 15:05:33,2340.0,2340.0,4061.0
FTSC,2026-06-02,2026-06-02 09:50:24,0.0,2340.0,0.0
FTSC,2026-06-02,2026-06-02 10:05:25,2400.0,2400.0,307.0
FTSC,2026-06-02,2026-06-02 10:20:23,2400.0,2400.0,326.0
FTSC,2026-06-02,2026-06-02 10:35:22,2400.0,2400.0,581.0
FTSC,2026-06-02,2026-06-02 10:50:23,2400.0,2355.0,667.0
FTSC,2026-06-02,2026-06-02 11:05:25,2400.0,2350.0,697.0
